Time [s],Value,Parity Error,Framing Error
1.5161945s,0x00,,
1.51743275s,0x00,,
1.518671s,0x00,,
1.5199095s,0x00,,
1.52114775s,0x00,,
1.522386s,0x00,,
1.52362425s,0x00,,
1.52486275s,0x00,,
1.526101s,0x00,,
1.52733925s,0x00,,
1.5285775s,0x00,,
1.52981575s,0x00,,
1.53105425s,0x00,,
1.5322925s,0x18,,
1.53353075s,0x01,,
1.534769s,0x00,,
1.53600725s,0x00,,
1.5372455s,0x00,,
1.538484s,0x00,,
1.53972225s,0x00,,
1.5409605s,0x00,,
1.54219875s,0x00,,
1.54343725s,0x05,,
1.5446755s,0x00,,
1.54591375s,0x08,,
1.547152s,0x3B,,
1.54839025s,0x11,,
1.54962875s,0x00,,
1.550867s,0x04,,
1.55210525s,0x08,,
1.5533435s,0x01,,
1.55458175s,0x2C,,
1.55582025s,0x32,,
1.5570585s,0x00,,
1.55829675s,0x00,,
1.559535s,0x20,,
1.56077325s,0x06,,
1.56201175s,0x0A,,
1.56325s,0x32,,
1.56448825s,0x00,,
1.5657265s,0xE8,,
1.707615s,0xFE,,
1.70885325s,0x55,,
1.7100915s,0xEF,,
1.71133s,0x2F,,
1.71256825s,0x7C,,
1.7138065s,0x00,,
1.71504475s,0x00,,
1.716283s,0x00,,
1.7175215s,0x00,,
1.71875975s,0x00,,
1.719998s,0x00,,
1.72123625s,0x00,,
1.7224745s,0x00,,
1.723713s,0x00,,
1.72495125s,0x00,,
1.7261895s,0x00,,
1.72742775s,0x00,,
1.728666s,0x00,,
1.7299045s,0x00,,
1.73114275s,0x00,,
1.732381s,0x00,,
1.73361925s,0x00,,
1.7348575s,0x00,,
1.736096s,0x00,,
1.73733425s,0x00,,
1.7385725s,0x00,,
1.73981075s,0x00,,
1.741049s,0x00,,
1.74228725s,0x00,,
1.74352575s,0x00,,
1.744764s,0x01,,
1.74600225s,0x00,,
1.7472405s,0x00,,
1.74847875s,0x00,,
1.74971725s,0x00,,
1.7509555s,0x00,,
1.75219375s,0x00,,
1.753432s,0x00,,
1.75467025s,0x00,,
1.75590875s,0x00,,
1.757147s,0x00,,
1.75838525s,0x00,,
1.7596235s,0x00,,
1.76086175s,0x00,,
1.76210025s,0x00,,
1.7633385s,0x00,,
1.76457675s,0x00,,
1.765815s,0x00,,
1.76705325s,0x00,,
1.76829175s,0x00,,
1.76953s,0xAC,,
1.9147205s,0xFE,,
1.91595875s,0x55,,
1.91719725s,0xEF,,
1.9184355s,0x13,,
1.91967375s,0x7A,,
1.920912s,0x01,,
1.92215025s,0x00,,
1.92338875s,0x00,,
1.924627s,0x00,,
1.92586525s,0x00,,
1.9271035s,0x00,,
1.928342s,0x00,,
1.92958025s,0x00,,
1.9308185s,0x00,,
1.93205675s,0x00,,
1.933295s,0x00,,
1.9345335s,0x00,,
1.93577175s,0x00,,
1.93701s,0x00,,
1.93824825s,0x00,,
1.9394865s,0x00,,
1.94072475s,0x00,,
1.94196325s,0x8E,,
2.11274525s,0xFE,,
2.1139835s,0x55,,
2.115222s,0xEF,,
2.11646025s,0x2F,,
2.1176985s,0x7C,,
2.11893675s,0x00,,
2.120175s,0x00,,
2.1214135s,0x00,,
2.12265175s,0x00,,
2.12389s,0x00,,
2.12512825s,0x00,,
2.1263665s,0x00,,
2.127605s,0x00,,
2.12884325s,0x00,,
2.1300815s,0x00,,
2.13131975s,0x00,,
2.132558s,0x00,,
2.1337965s,0x00,,
2.13503475s,0x00,,
2.136273s,0x00,,
2.13751125s,0x00,,
2.1387495s,0x00,,
2.139988s,0x00,,
2.14122625s,0x00,,
2.1424645s,0x00,,
2.14370275s,0x00,,
2.144941s,0x00,,
2.1461795s,0x00,,
2.14741775s,0x00,,
2.148656s,0x00,,
2.14989425s,0x01,,
2.1511325s,0x00,,
2.152371s,0x00,,
2.15360925s,0x00,,
2.1548475s,0x00,,
2.15608575s,0x00,,
2.157324s,0x00,,
2.1585625s,0x00,,
2.15980075s,0x00,,
2.161039s,0x00,,
2.16227725s,0x00,,
2.1635155s,0x00,,
2.164754s,0x00,,
2.16599225s,0x00,,
2.1672305s,0x00,,
2.16846875s,0x00,,
2.169707s,0x00,,
2.1709455s,0x00,,
2.17218375s,0x00,,
2.173422s,0x00,,
2.17466025s,0xAC,,
2.31469125s,0xFE,,
2.3159295s,0x55,,
2.317168s,0xEF,,
2.31840625s,0x0D,,
2.3196445s,0x7B,,
2.32088275s,0x00,,
2.322121s,0x00,,
2.3233595s,0x00,,
2.32459775s,0x00,,
2.325836s,0x00,,
2.32707425s,0x00,,
2.3283125s,0x00,,
2.329551s,0x00,,
2.33078925s,0x00,,
2.3320275s,0x00,,
2.33326575s,0x00,,
2.334504s,0x88,,
2.5199395s,0xFE,,
2.52117775s,0x55,,
2.522416s,0xEF,,
2.52365425s,0x2F,,
2.52489275s,0x7C,,
2.526131s,0x00,,
2.52736925s,0x00,,
2.5286075s,0x00,,
2.52984575s,0x00,,
2.53108425s,0x00,,
2.5323225s,0x00,,
2.53356075s,0x00,,
2.534799s,0x00,,
2.53603725s,0x00,,
2.53727575s,0x00,,
2.538514s,0x00,,
2.53975225s,0x00,,
2.5409905s,0x00,,
2.54222875s,0x00,,
2.54346725s,0x00,,
2.5447055s,0x00,,
2.54594375s,0x00,,
2.547182s,0x00,,
2.54842025s,0x00,,
2.54965875s,0x00,,
2.550897s,0x00,,
2.55213525s,0x00,,
2.5533735s,0x00,,
2.55461175s,0x00,,
2.55585s,0x00,,
2.5570885s,0x01,,
2.55832675s,0x00,,
2.559565s,0x00,,
2.56080325s,0x00,,
2.5620415s,0x00,,
2.56328s,0x00,,
2.56451825s,0x00,,
2.5657565s,0x00,,
2.56699475s,0x00,,
2.568233s,0x00,,
2.5694715s,0x00,,
2.57070975s,0x00,,
2.571948s,0x00,,
2.57318625s,0x00,,
2.5744245s,0x00,,
2.575663s,0x00,,
2.57690125s,0x00,,
2.5781395s,0x00,,
2.57937775s,0x00,,
2.580616s,0x00,,
2.5818545s,0xAC,,
2.725394s,0xFE,,
2.72663225s,0x55,,
2.7278705s,0xEF,,
2.72910875s,0x03,,
2.73034725s,0x76,,
2.7315855s,0x00,,
2.73282375s,0x79,,
2.92187075s,0xFE,,
2.92310925s,0x55,,
2.9243475s,0xEF,,
2.92558575s,0x2F,,
2.926824s,0x7C,,
2.92806225s,0x00,,
2.9293005s,0x00,,
2.930539s,0x00,,
2.93177725s,0x00,,
2.9330155s,0x00,,
2.93425375s,0x00,,
2.935492s,0x00,,
2.9367305s,0x00,,
2.93796875s,0x00,,
2.939207s,0x00,,
2.94044525s,0x00,,
2.94168375s,0x00,,
2.942922s,0x00,,
2.94416025s,0x00,,
2.9453985s,0x00,,
2.94663675s,0x00,,
2.947875s,0x00,,
2.9491135s,0x00,,
2.95035175s,0x00,,
2.95159s,0x00,,
2.95282825s,0x00,,
2.9540665s,0x00,,
2.955305s,0x00,,
2.95654325s,0x00,,
2.9577815s,0x00,,
2.95901975s,0x01,,
2.960258s,0x00,,
2.9614965s,0x00,,
2.96273475s,0x00,,
2.963973s,0x00,,
2.96521125s,0x00,,
2.9664495s,0x00,,
2.967688s,0x00,,
