Time [s],Value,Parity Error,Framing Error
6.119457s,0x7C,,
6.120499s,0x00,,
6.121541s,0x7F,,
6.315477s,0xEF,,
6.316519s,0x55,,
6.317561s,0xFE,,
6.318603s,0x03,,
6.319645s,0x7B,,
6.32068675s,0x00,,
6.32172875s,0x7E,,
6.51612075s,0xEF,,
6.51716275s,0x55,,
6.51820475s,0xFE,,
6.5192465s,0x03,,
6.5202885s,0x7C,,
6.5213305s,0x00,,
6.5223725s,0x7F,,
6.716491s,0xEF,,
6.717533s,0x55,,
6.71857475s,0xFE,,
6.71961675s,0x04,,
6.72065875s,0x77,,
6.72170075s,0x00,,
6.72274275s,0x00,,
6.72378475s,0x7B,,
6.916692s,0xEF,,
6.91773375s,0x55,,
6.91877575s,0xFE,,
6.91981775s,0x03,,
6.92085975s,0x7C,,
6.92190175s,0x00,,
6.92294375s,0x7F,,
7.11684725s,0xEF,,
7.11788925s,0x55,,
7.11893125s,0xFE,,
7.11997325s,0x03,,
7.121015s,0x7D,,
7.122057s,0x00,,
7.123099s,0x80,,
7.31658575s,0xEF,,
7.31762775s,0x55,,
7.31866975s,0xFE,,
7.31971175s,0x03,,
7.3207535s,0x7C,,
7.3217955s,0x00,,
7.3228375s,0x7F,,
7.51679325s,0xEF,,
7.51783525s,0x55,,
7.518877s,0xFE,,
7.519919s,0x03,,
7.520961s,0x7A,,
7.522003s,0x01,,
7.523045s,0x7E,,
7.71763225s,0xEF,,
7.71867425s,0x55,,
7.71971625s,0xFE,,
7.72075825s,0x03,,
7.7218s,0x7C,,
7.722842s,0x00,,
7.723884s,0x7F,,
7.91810675s,0xEF,,
7.91914875s,0x55,,
7.92019075s,0xFE,,
7.92123275s,0x03,,
7.9222745s,0x7B,,
7.9233165s,0x00,,
7.9243585s,0x7E,,
8.11828825s,0xEF,,
8.11933s,0x55,,
8.120372s,0xFE,,
8.121414s,0x03,,
8.122456s,0x7C,,
8.123498s,0x00,,
8.12454s,0x7F,,
8.3181505s,0xEF,,
8.31919225s,0x55,,
8.32023425s,0xFE,,
8.32127625s,0x04,,
8.32231825s,0x77,,
8.32336025s,0x00,,
8.32440225s,0x00,,
8.32544425s,0x7B,,
8.51857275s,0xEF,,
8.51961475s,0x55,,
8.5206565s,0xFE,,
8.5216985s,0x03,,
8.5227405s,0x7C,,
8.5237825s,0x00,,
8.5248245s,0x7F,,
8.71958775s,0xEF,,
8.7206295s,0x55,,
8.7216715s,0xFE,,
8.7227135s,0x03,,
8.7237555s,0x7D,,
8.7247975s,0x00,,
8.7258395s,0x80,,
8.920785s,0xEF,,
8.921827s,0x55,,
8.92286875s,0xFE,,
8.92391075s,0x03,,
8.92495275s,0x7C,,
8.92599475s,0x00,,
8.92703675s,0x7F,,
9.1215915s,0xEF,,
9.1226335s,0x55,,
9.1236755s,0xFE,,
9.1247175s,0x03,,
9.12575925s,0x7A,,
9.12680125s,0x01,,
9.12784325s,0x7E,,
9.32144075s,0xEF,,
9.32248275s,0x55,,
9.32352475s,0xFE,,
9.32456675s,0x03,,
9.32560875s,0x7C,,
9.3266505s,0x00,,
9.3276925s,0x7F,,
9.5217525s,0xEF,,
9.5227945s,0x55,,
9.52383625s,0xFE,,
9.52487825s,0x03,,
9.52592025s,0x7B,,
9.52696225s,0x00,,
9.52800425s,0x7E,,
9.72221375s,0xEF,,
9.72325575s,0x55,,
9.72429775s,0xFE,,
9.72533975s,0x03,,
9.7263815s,0x7C,,
9.7274235s,0x00,,
9.7284655s,0x7F,,
9.92295525s,0xEF,,
9.92399725s,0x55,,
9.925039s,0xFE,,
9.926081s,0x04,,
9.927123s,0x77,,
9.928165s,0x00,,
9.929207s,0x00,,
9.930249s,0x7B,,
10.12368375s,0xEF,,
10.1247255s,0x55,,
10.1257675s,0xFE,,
10.1268095s,0x03,,
10.1278515s,0x7C,,
10.1288935s,0x00,,
10.12993525s,0x7F,,
10.32428825s,0xEF,,
10.32533025s,0x55,,
10.32637225s,0xFE,,
10.32741425s,0x03,,
10.328456s,0x7D,,
10.329498s,0x00,,
10.33054s,0x80,,
10.52532275s,0xEF,,
10.52636475s,0x55,,
10.52740675s,0xFE,,
10.52844875s,0x03,,
10.5294905s,0x7C,,
10.5305325s,0x00,,
10.5315745s,0x7F,,
10.7261945s,0xEF,,
10.7272365s,0x55,,
10.7282785s,0xFE,,
10.72932025s,0x03,,
10.73036225s,0x7A,,
10.73140425s,0x01,,
10.73244625s,0x7E,,
10.92712475s,0xEF,,
10.92816675s,0x55,,
10.92920875s,0xFE,,
10.93025075s,0x03,,
10.93129275s,0x7C,,
10.9323345s,0x00,,
10.9333765s,0x7F,,
11.12763825s,0xEF,,
11.12868025s,0x55,,
11.12972225s,0xFE,,
11.130764s,0x03,,
11.131806s,0x7B,,
11.132848s,0x00,,
11.13389s,0x7E,,
11.32781975s,0xEF,,
11.3288615s,0x55,,
11.3299035s,0xFE,,
11.3309455s,0x03,,
11.3319875s,0x7C,,
11.3330295s,0x00,,
11.3340715s,0x7F,,
11.528268s,0xEF,,
11.52931s,0x55,,
11.530352s,0xFE,,
11.531394s,0x04,,
11.53243575s,0x77,,
11.53347775s,0x00,,
11.53451975s,0x00,,
11.53556175s,0x7B,,
11.7287165s,0xEF,,
11.72975825s,0x55,,
11.73080025s,0xFE,,
11.73184225s,0x03,,
11.73288425s,0x7C,,
11.73392625s,0x00,,
11.73496825s,0x7F,,
11.92909975s,0xEF,,
11.93014175s,0x55,,
11.9311835s,0xFE,,
11.9322255s,0x03,,
11.9332675s,0x7D,,
11.9343095s,0x00,,
11.9353515s,0x80,,
12.129255s,0xEF,,
12.130297s,0x55,,
12.131339s,0xFE,,
12.13238075s,0x03,,
12.13342275s,0x7C,,
12.13446475s,0x00,,
12.13550675s,0x7F,,
12.32965125s,0xEF,,
12.33069325s,0x55,,
12.33173525s,0xFE,,
12.33277725s,0x03,,
12.33381925s,0x7A,,
12.334861s,0x01,,
12.335903s,0x7E,,
12.530536s,0xEF,,
12.531578s,0x55,,
12.53262s,0xFE,,
12.533662s,0x03,,
12.53470375s,0x7C,,
12.53574575s,0x00,,
12.53678775s,0x7F,,
12.73046325s,0xEF,,
12.73150525s,0x55,,
12.73254725s,0xFE,,
12.73358925s,0x03,,
12.73463125s,0x7B,,
12.73567325s,0x00,,
12.73671525s,0x7E,,
12.93146525s,0xEF,,
12.93250725s,0x55,,
12.93354925s,0xFE,,
12.93459125s,0x03,,
12.935633s,0x7C,,
12.936675s,0x00,,
