Time [s],Value,Parity Error,Framing Error
28.7956325s,0x7B,,
28.7966745s,0x00,,
28.7977165s,0x7E,,
28.992486s,0xEF,,
28.993528s,0x55,,
28.99457s,0xFE,,
28.995612s,0x03,,
28.996654s,0x7C,,
28.99769575s,0x00,,
28.99873775s,0x7F,,
29.193514s,0xEF,,
29.194556s,0x55,,
29.195598s,0xFE,,
29.19664s,0x04,,
29.197682s,0x77,,
29.198724s,0x00,,
29.19976575s,0x00,,
29.20080775s,0x7B,,
29.39459425s,0xEF,,
29.395636s,0x55,,
29.396678s,0xFE,,
29.39772s,0x03,,
29.398762s,0x7C,,
29.399804s,0x00,,
29.40084575s,0x7F,,
29.5963125s,0xEF,,
29.59735425s,0x55,,
29.59839625s,0xFE,,
29.59943825s,0x03,,
29.60048025s,0x7D,,
29.60152225s,0x00,,
29.60256425s,0x80,,
29.79627225s,0xEF,,
29.79731425s,0x55,,
29.79835625s,0xFE,,
29.79939825s,0x03,,
29.80044025s,0x7C,,
29.80148225s,0x00,,
29.802524s,0x7F,,
29.9965255s,0xEF,,
29.99756725s,0x55,,
29.99860925s,0xFE,,
29.99965125s,0x03,,
30.00069325s,0x7A,,
30.00173525s,0x01,,
30.002777s,0x7E,,
30.196811s,0xEF,,
30.19785275s,0x55,,
30.19889475s,0xFE,,
30.19993675s,0x03,,
30.20097875s,0x7C,,
30.20202075s,0x00,,
30.20306275s,0x7F,,
30.3979235s,0xEF,,
30.3989655s,0x55,,
30.4000075s,0xFE,,
30.4010495s,0x03,,
30.40209125s,0x7B,,
30.40313325s,0x00,,
30.40417525s,0x7E,,
30.59854775s,0xEF,,
30.59958975s,0x55,,
30.60063175s,0xFE,,
30.60167375s,0x03,,
30.60271575s,0x7C,,
30.6037575s,0x00,,
30.6047995s,0x7F,,
30.7992045s,0xEF,,
30.8002465s,0x55,,
30.8012885s,0xFE,,
30.8023305s,0x04,,
30.80337225s,0x77,,
30.80441425s,0x00,,
30.80545625s,0x00,,
30.80649825s,0x7B,,
30.999985s,0xEF,,
31.001027s,0x55,,
31.002069s,0xFE,,
31.003111s,0x03,,
31.00415275s,0x7C,,
31.00519475s,0x00,,
31.00623675s,0x7F,,
31.2017815s,0xEF,,
31.2028235s,0x55,,
31.20386525s,0xFE,,
31.20490725s,0x03,,
31.20594925s,0x7D,,
31.20699125s,0x00,,
31.20803325s,0x80,,
31.401774s,0xEF,,
31.402816s,0x55,,
31.403858s,0xFE,,
31.40489975s,0x03,,
31.40594175s,0x7C,,
31.40698375s,0x00,,
31.40802575s,0x7F,,
31.6023265s,0xEF,,
31.6033685s,0x55,,
31.6044105s,0xFE,,
31.6054525s,0x03,,
31.6064945s,0x7A,,
31.60753625s,0x01,,
31.60857825s,0x7E,,
31.8028205s,0xEF,,
31.8038625s,0x55,,
31.8049045s,0xFE,,
31.8059465s,0x03,,
31.8069885s,0x7C,,
31.80803025s,0x00,,
31.80907225s,0x7F,,
32.003347s,0xEF,,
32.004389s,0x55,,
32.005431s,0xFE,,
32.006473s,0x03,,
32.00751475s,0x7B,,
32.00855675s,0x00,,
32.00959875s,0x7E,,
32.20482425s,0xEF,,
32.20586625s,0x55,,
32.20690825s,0xFE,,
32.20795025s,0x03,,
32.20899225s,0x7C,,
32.21003425s,0x00,,
32.21107625s,0x7F,,
32.40520775s,0xEF,,
32.4062495s,0x55,,
32.4072915s,0xFE,,
32.4083335s,0x04,,
32.4093755s,0x77,,
32.4104175s,0x00,,
32.4114595s,0x00,,
32.41250125s,0x7B,,
32.60519375s,0xEF,,
32.6062355s,0x55,,
32.6072775s,0xFE,,
32.6083195s,0x03,,
32.6093615s,0x7C,,
32.6104035s,0x00,,
32.61144525s,0x7F,,
32.8055965s,0xEF,,
32.80663825s,0x55,,
32.80768025s,0xFE,,
32.80872225s,0x03,,
32.80976425s,0x7D,,
32.81080625s,0x00,,
32.81184825s,0x80,,
33.00715825s,0xEF,,
33.00820025s,0x55,,
33.00924225s,0xFE,,
33.01028425s,0x03,,
33.01132625s,0x7C,,
33.01236825s,0x00,,
33.01341025s,0x7F,,
33.20778275s,0xEF,,
33.2088245s,0x55,,
33.2098665s,0xFE,,
33.2109085s,0x03,,
33.2119505s,0x7A,,
33.2129925s,0x01,,
33.21403425s,0x7E,,
33.408485s,0xEF,,
33.409527s,0x55,,
33.41056875s,0xFE,,
33.41161075s,0x03,,
33.41265275s,0x7C,,
33.41369475s,0x00,,
33.41473675s,0x7F,,
33.60914825s,0xEF,,
33.61019025s,0x55,,
33.61123225s,0xFE,,
33.612274s,0x03,,
33.613316s,0x7B,,
33.614358s,0x00,,
33.6154s,0x7E,,
33.80998725s,0xEF,,
33.81102925s,0x55,,
33.81207125s,0xFE,,
33.81311325s,0x03,,
33.81415525s,0x7C,,
33.81519725s,0x00,,
33.81623925s,0x7F,,
34.0105985s,0xEF,,
34.0116405s,0x55,,
34.0126825s,0xFE,,
34.0137245s,0x04,,
34.0147665s,0x77,,
34.01580825s,0x00,,
34.01685025s,0x00,,
34.01789225s,0x7B,,
34.2108645s,0xEF,,
34.2119065s,0x55,,
34.2129485s,0xFE,,
34.2139905s,0x03,,
34.2150325s,0x7C,,
34.2160745s,0x00,,
34.21711625s,0x7F,,
34.41153425s,0xEF,,
34.41257625s,0x55,,
34.41361825s,0xFE,,
34.41466025s,0x03,,
34.41570225s,0x7D,,
34.41674425s,0x00,,
34.41778625s,0x80,,
34.61226275s,0xEF,,
34.61330475s,0x55,,
34.61434675s,0xFE,,
34.6153885s,0x03,,
34.6164305s,0x7C,,
34.6174725s,0x00,,
34.6185145s,0x7F,,
34.81248975s,0xEF,,
34.81353175s,0x55,,
34.81457375s,0xFE,,
34.8156155s,0x03,,
34.8166575s,0x7A,,
34.8176995s,0x01,,
34.8187415s,0x7E,,
35.01293825s,0xEF,,
35.01398s,0x55,,
35.015022s,0xFE,,
35.016064s,0x03,,
35.017106s,0x7C,,
35.01814775s,0x00,,
35.01918975s,0x7F,,
35.2128395s,0xEF,,
35.2138815s,0x55,,
35.21492325s,0xFE,,
35.21596525s,0x03,,
35.21700725s,0x7B,,
35.21804925s,0x00,,
35.21909125s,0x7E,,
35.41513725s,0xEF,,
35.41617925s,0x55,,
35.41722125s,0xFE,,
35.41826325s,0x03,,
35.41930525s,0x7C,,
35.420347s,0x00,,
35.421389s,0x7F,,
35.61533175s,0xEF,,
35.6163735s,0x55,,
35.6174155s,0xFE,,
35.6184575s,0x04,,
35.6194995s,0x77,,
35.6205415s,0x00,,
35.6215835s,0x00,,
35.6226255s,0x7B,,
35.815943s,0xEF,,
35.81698475s,0x55,,
35.81802675s,0xFE,,
35.81906875s,0x03,,
35.82011075s,0x7C,,
35.82115275s,0x00,,
35.82219475s,0x7F,,
36.0168015s,0xEF,,
36.0178435s,0x55,,
36.0188855s,0xFE,,
36.01992725s,0x03,,
36.02096925s,0x7D,,
36.02201125s,0x00,,
36.02305325s,0x80,,
36.2172305s,0xEF,,
36.21827225s,0x55,,
36.21931425s,0xFE,,
36.22035625s,0x03,,
36.22139825s,0x7C,,
36.22244025s,0x00,,
36.22348225s,0x7F,,
36.41743775s,0xEF,,
36.41847975s,0x55,,
36.41952175s,0xFE,,
36.42056375s,0x03,,
36.4216055s,0x7A,,
36.4226475s,0x01,,
36.4236895s,0x7E,,
36.6172805s,0xEF,,
36.6183225s,0x55,,
36.6193645s,0xFE,,
36.62040625s,0x03,,
36.62144825s,0x7C,,
36.62249025s,0x00,,
36.62353225s,0x7F,,
36.8172275s,0xEF,,
36.81826925s,0x55,,
36.81931125s,0xFE,,
36.82035325s,0x03,,
36.82139525s,0x7B,,
36.82243725s,0x00,,
36.82347925s,0x7E,,
37.017448s,0xEF,,
37.01848975s,0x55,,
37.01953175s,0xFE,,
37.02057375s,0x03,,
37.02161575s,0x7C,,
37.02265775s,0x00,,
37.0236995s,0x7F,,
37.2177465s,0xEF,,
37.2187885s,0x55,,
37.2198305s,0xFE,,
37.22087225s,0x04,,
37.22191425s,0x77,,
37.22295625s,0x00,,
37.22399825s,0x00,,
37.22504025s,0x7B,,
37.417485s,0xEF,,
37.418527s,0x55,,
37.419569s,0xFE,,
37.420611s,0x03,,
37.421653s,0x7C,,
37.42269475s,0x00,,
37.42373675s,0x7F,,
37.6182525s,0xEF,,
37.6192945s,0x55,,
37.6203365s,0xFE,,
37.62137825s,0x03,,
37.62242025s,0x7D,,
37.62346225s,0x00,,
37.62450425s,0x80,,
37.81892875s,0xEF,,
37.81997075s,0x55,,
37.82101275s,0xFE,,
37.82205475s,0x03,,
37.82309675s,0x7C,,
37.82413875s,0x00,,
37.8251805s,0x7F,,
38.020048s,0xEF,,
38.02109s,0x55,,
38.022132s,0xFE,,
38.02317375s,0x03,,
38.02421575s,0x7A,,
38.02525775s,0x01,,
38.02629975s,0x7E,,
38.221649s,0xEF,,
38.222691s,0x55,,
38.223733s,0xFE,,
38.224775s,0x03,,
38.22581675s,0x7C,,
38.22685875s,0x00,,
38.22790075s,0x7F,,
38.42229275s,0xEF,,
38.42333475s,0x55,,
38.4243765s,0xFE,,
38.4254185s,0x03,,
38.4264605s,0x7B,,
38.4275025s,0x00,,
38.4285445s,0x7E,,
38.622663s,0xEF,,
38.62370475s,0x55,,
38.62474675s,0xFE,,
38.62578875s,0x03,,
38.62683075s,0x7C,,
38.62787275s,0x00,,
38.62891475s,0x7F,,
38.82329375s,0xEF,,
38.8243355s,0x55,,
38.8253775s,0xFE,,
38.8264195s,0x04,,
38.8274615s,0x77,,
38.8285035s,0x00,,
38.8295455s,0x00,,
38.8305875s,0x7B,,
39.023931s,0xEF,,
39.024973s,0x55,,
39.02601475s,0xFE,,
39.02705675s,0x03,,
39.02809875s,0x7C,,
39.02914075s,0x00,,
39.03018275s,0x7F,,
39.22375425s,0xEF,,
39.224796s,0x55,,
39.225838s,0xFE,,
39.22688s,0x03,,
39.227922s,0x7D,,
39.228964s,0x00,,
39.23000575s,0x80,,
39.424463s,0xEF,,
39.425505s,0x55,,
39.426547s,0xFE,,
39.427589s,0x03,,
39.42863075s,0x7C,,
39.42967275s,0x00,,
39.43071475s,0x7F,,
39.625719s,0xEF,,
39.62676075s,0x55,,
39.62780275s,0xFE,,
39.62884475s,0x03,,
39.62988675s,0x7A,,
39.63092875s,0x01,,
39.63197075s,0x7E,,
39.8268835s,0xEF,,
39.8279255s,0x55,,
39.8289675s,0xFE,,
39.8300095s,0x03,,
39.8310515s,0x7C,,
39.8320935s,0x00,,
39.8331355s,0x7F,,
40.02776825s,0xEF,,
40.02881025s,0x55,,
40.02985225s,0xFE,,
40.03089425s,0x03,,
40.03193625s,0x7B,,
40.03297825s,0x00,,
40.03402s,0x7E,,
40.2292s,0xEF,,
40.230242s,0x55,,
40.231284s,0xFE,,
40.232326s,0x03,,
40.233368s,0x7C,,
40.23440975s,0x00,,
40.23545175s,0x7F,,
40.42977225s,0xEF,,
40.43081425s,0x55,,
40.431856s,0xFE,,
40.432898s,0x04,,
40.43394s,0x77,,
40.434982s,0x00,,
40.436024s,0x00,,
40.43706575s,0x7B,,
40.63081975s,0xEF,,
40.6318615s,0x55,,
40.6329035s,0xFE,,
40.6339455s,0x03,,
40.6349875s,0x7C,,
40.6360295s,0x00,,
40.6370715s,0x7F,,
40.83188025s,0xEF,,
40.832922s,0x55,,
40.833964s,0xFE,,
40.835006s,0x03,,
40.836048s,0x7D,,
40.83709s,0x00,,
40.838132s,0x80,,
41.0327845s,0xEF,,
41.03382625s,0x55,,
41.03486825s,0xFE,,
41.03591025s,0x03,,
41.03695225s,0x7C,,
41.03799425s,0x00,,
41.03903625s,0x7F,,
41.23269225s,0xEF,,
41.23373425s,0x55,,
41.23477625s,0xFE,,
41.235818s,0x03,,
41.23686s,0x7A,,
41.237902s,0x01,,
41.238944s,0x7E,,
41.43287375s,0xEF,,
41.4339155s,0x55,,
41.4349575s,0xFE,,
41.4359995s,0x03,,
41.4370415s,0x7C,,
41.4380835s,0x00,,
41.4391255s,0x7F,,
41.63339375s,0xEF,,
41.6344355s,0x55,,
41.6354775s,0xFE,,
41.6365195s,0x03,,
41.6375615s,0x7B,,
41.6386035s,0x00,,
41.6396455s,0x7E,,
41.83368575s,0xEF,,
41.83472775s,0x55,,
41.83576975s,0xFE,,
41.8368115s,0x03,,
41.8378535s,0x7C,,
41.8388955s,0x00,,
41.8399375s,0x7F,,
42.034043s,0xEF,,
42.035085s,0x55,,
42.03612675s,0xFE,,
42.03716875s,0x04,,
42.03821075s,0x77,,
42.03925275s,0x00,,
42.04029475s,0x00,,
42.04133675s,0x7B,,
42.234016s,0xEF,,
42.235058s,0x55,,
42.23609975s,0xFE,,
42.23714175s,0x03,,
42.23818375s,0x7C,,
42.23922575s,0x00,,
42.24026775s,0x7F,,
42.4351155s,0xEF,,
42.4361575s,0x55,,
42.4371995s,0xFE,,
42.43824125s,0x03,,
42.43928325s,0x7D,,
42.44032525s,0x00,,
42.44136725s,0x80,,
42.63575275s,0xEF,,
42.63679475s,0x55,,
42.63783675s,0xFE,,
42.63887875s,0x03,,
42.6399205s,0x7C,,
42.6409625s,0x00,,
42.6420045s,0x7F,,
42.83620125s,0xEF,,
42.837243s,0x55,,
42.838285s,0xFE,,
42.839327s,0x03,,
42.840369s,0x7A,,
42.841411s,0x01,,
42.84245275s,0x7E,,
43.036135s,0xEF,,
43.037177s,0x55,,
43.038219s,0xFE,,
43.039261s,0x03,,
43.040303s,0x7C,,
43.04134475s,0x00,,
43.04238675s,0x7F,,
43.23652475s,0xEF,,
43.23756675s,0x55,,
43.23860875s,0xFE,,
43.23965075s,0x03,,
43.2406925s,0x7B,,
43.2417345s,0x00,,
43.2427765s,0x7E,,
43.437696s,0xEF,,
43.438738s,0x55,,
43.43978s,0xFE,,
43.440822s,0x03,,
43.44186375s,0x7C,,
43.44290575s,0x00,,
43.44394775s,0x7F,,
43.63880875s,0xEF,,
43.6398505s,0x55,,
43.6408925s,0xFE,,
43.6419345s,0x04,,
43.6429765s,0x77,,
43.6440185s,0x00,,
43.6450605s,0x00,,
43.6461025s,0x7B,,
43.83959575s,0xEF,,
43.8406375s,0x55,,
43.8416795s,0xFE,,
43.8427215s,0x03,,
43.8437635s,0x7C,,
43.8448055s,0x00,,
43.8458475s,0x7F,,
44.03993325s,0xEF,,
44.04097525s,0x55,,
44.04201725s,0xFE,,
44.04305925s,0x03,,
44.04410125s,0x7D,,
44.04514325s,0x00,,
44.04618525s,0x80,,
44.24096775s,0xEF,,
44.24200975s,0x55,,
44.24305175s,0xFE,,
44.24409375s,0x03,,
44.24513575s,0x7C,,
44.2461775s,0x00,,
44.2472195s,0x7F,,
44.4415855s,0xEF,,
44.4426275s,0x55,,
44.4436695s,0xFE,,
44.44471125s,0x03,,
44.44575325s,0x7A,,
44.44679525s,0x01,,
44.44783725s,0x7E,,
44.64146075s,0xEF,,
44.64250275s,0x55,,
44.64354475s,0xFE,,
44.64458675s,0x03,,
44.6456285s,0x7C,,
44.6466705s,0x00,,
44.6477125s,0x7F,,
44.84215025s,0xEF,,
44.843192s,0x55,,
44.844234s,0xFE,,
44.845276s,0x03,,
44.846318s,0x7B,,
44.84736s,0x00,,
44.84840175s,0x7E,,
45.04298925s,0xEF,,
45.04403125s,0x55,,
45.04507325s,0xFE,,
45.04611525s,0x03,,
45.047157s,0x7C,,
45.048199s,0x00,,
45.049241s,0x7F,,
45.2428645s,0xEF,,
45.2439065s,0x55,,
45.2449485s,0xFE,,
45.2459905s,0x04,,
45.2470325s,0x77,,
45.24807425s,0x00,,
45.24911625s,0x00,,
45.25015825s,0x7B,,
45.44314375s,0xEF,,
45.4441855s,0x55,,
45.4452275s,0xFE,,
45.4462695s,0x03,,
45.4473115s,0x7C,,
45.44835325s,0x00,,
45.44939525s,0x7F,,
45.64428875s,0xEF,,
45.64533075s,0x55,,
45.64637275s,0xFE,,
45.64741475s,0x03,,
45.6484565s,0x7D,,
45.6494985s,0x00,,
45.6505405s,0x80,,
45.8448805s,0xEF,,
45.8459225s,0x55,,
45.84696425s,0xFE,,
45.84800625s,0x03,,
45.84904825s,0x7C,,
45.85009025s,0x00,,
45.85113225s,0x7F,,
46.046273s,0xEF,,
46.047315s,0x55,,
46.048357s,0xFE,,
46.049399s,0x03,,
46.050441s,0x7A,,
46.05148275s,0x01,,
46.05252475s,0x7E,,
46.2472035s,0xEF,,
46.24824525s,0x55,,
46.24928725s,0xFE,,
46.25032925s,0x03,,
46.25137125s,0x7C,,
46.252413s,0x00,,
46.253455s,0x7F,,
46.447847s,0xEF,,
46.448889s,0x55,,
46.449931s,0xFE,,
46.450973s,0x03,,
46.452015s,0x7B,,
46.45305675s,0x00,,
46.45409875s,0x7E,,
46.64975425s,0xEF,,
46.65079625s,0x55,,
46.651838s,0xFE,,
46.65288s,0x03,,
46.653922s,0x7C,,
46.654964s,0x00,,
46.656006s,0x7F,,
46.8525015s,0xEF,,
46.8535435s,0x55,,
46.85458525s,0xFE,,
46.85562725s,0x04,,
46.85666925s,0x77,,
46.85771125s,0x00,,
46.85875325s,0x00,,
46.85979525s,0x7B,,
47.05350325s,0xEF,,
47.05454525s,0x55,,
47.05558725s,0xFE,,
47.05662925s,0x03,,
47.05767125s,0x7C,,
47.05871325s,0x00,,
47.05975525s,0x7F,,
47.254082s,0xEF,,
47.25512375s,0x55,,
47.25616575s,0xFE,,
47.25720775s,0x03,,
47.25824975s,0x7D,,
47.25929175s,0x00,,
47.26033375s,0x80,,
47.455175s,0xEF,,
47.456217s,0x55,,
47.457259s,0xFE,,
47.458301s,0x03,,
47.45934275s,0x7C,,
47.46038475s,0x00,,
47.46142675s,0x7F,,
47.65917275s,0xEF,,
47.6602145s,0x55,,
47.6612565s,0xFE,,
47.6622985s,0x03,,
47.6633405s,0x7A,,
47.6643825s,0x01,,
47.6654245s,0x7E,,
47.85945175s,0xEF,,
47.8604935s,0x55,,
47.8615355s,0xFE,,
47.8625775s,0x03,,
47.8636195s,0x7C,,
47.8646615s,0x00,,
47.8657035s,0x7F,,
48.0601215s,0xEF,,
48.0611635s,0x55,,
48.06220525s,0xFE,,
48.06324725s,0x03,,
48.06428925s,0x7B,,
48.06533125s,0x00,,
48.06637325s,0x7E,,
48.26113s,0xEF,,
48.26217175s,0x55,,
48.26321375s,0xFE,,
48.26425575s,0x03,,
48.26529775s,0x7C,,
48.26633975s,0x00,,
48.26738175s,0x7F,,
48.46209275s,0xEF,,
48.46313475s,0x55,,
48.4641765s,0xFE,,
48.4652185s,0x04,,
48.4662605s,0x77,,
48.4673025s,0x00,,
48.4683445s,0x00,,
48.4693865s,0x7B,,
48.66301s,0xEF,,
48.664052s,0x55,,
48.665094s,0xFE,,
48.666136s,0x03,,
48.66717775s,0x7C,,
48.66821975s,0x00,,
48.66926175s,0x7F,,
48.86262475s,0xEF,,
48.86366675s,0x55,,
48.86470875s,0xFE,,
48.86575075s,0x03,,
48.8667925s,0x7D,,
48.8678345s,0x00,,
48.8688765s,0x80,,
49.063249s,0xEF,,
49.064291s,0x55,,
49.06533275s,0xFE,,
49.066375s,0x03,,
49.06741675s,0x7C,,
49.06845875s,0x00,,
49.06950075s,0x7F,,
49.2647525s,0xEF,,
49.26579425s,0x55,,
49.26683625s,0xFE,,
49.26787825s,0x03,,
49.26892025s,0x7A,,
49.26996225s,0x01,,
49.27100425s,0x7E,,
49.46545475s,0xEF,,
49.46649675s,0x55,,
49.46753875s,0xFE,,
49.46858075s,0x03,,
49.4696225s,0x7C,,
49.4706645s,0x00,,
49.4717065s,0x7F,,
49.66600725s,0xEF,,
49.66704925s,0x55,,
49.66809125s,0xFE,,
49.66913325s,0x03,,
49.670175s,0x7B,,
49.671217s,0x00,,
49.672259s,0x7E,,
49.86699625s,0xEF,,
49.868038s,0x55,,
49.86908s,0xFE,,
49.870122s,0x03,,
49.871164s,0x7C,,
49.872206s,0x00,,
49.873248s,0x7F,,
50.067132s,0xEF,,
50.06817375s,0x55,,
50.06921575s,0xFE,,
50.07025775s,0x04,,
50.07129975s,0x77,,
50.07234175s,0x00,,
50.07338375s,0x00,,
50.07442575s,0x7B,,
50.26723525s,0xEF,,
50.26827725s,0x55,,
50.269319s,0xFE,,
50.270361s,0x03,,
50.271403s,0x7C,,
50.272445s,0x00,,
50.273487s,0x7F,,
50.46754025s,0xEF,,
50.46858225s,0x55,,
50.46962425s,0xFE,,
50.47066625s,0x03,,
50.471708s,0x7D,,
50.47275s,0x00,,
50.473792s,0x80,,
50.66908925s,0xEF,,
50.67013125s,0x55,,
50.67117325s,0xFE,,
50.67221525s,0x03,,
50.673257s,0x7C,,
50.674299s,0x00,,
50.675341s,0x7F,,
50.86940075s,0xEF,,
50.87044275s,0x55,,
50.87148475s,0xFE,,
50.87252675s,0x03,,
50.87356875s,0x7A,,
50.8746105s,0x01,,
50.8756525s,0x7E,,
51.06988175s,0xEF,,
51.07092375s,0x55,,
51.07196575s,0xFE,,
51.07300775s,0x03,,
51.0740495s,0x7C,,
51.0750915s,0x00,,
51.0761335s,0x7F,,
51.27090975s,0xEF,,
51.27195175s,0x55,,
51.27299375s,0xFE,,
51.27403575s,0x03,,
51.2750775s,0x7B,,
51.2761195s,0x00,,
51.2771615s,0x7E,,
51.47184s,0xEF,,
51.472882s,0x55,,
51.473924s,0xFE,,
51.47496575s,0x03,,
51.47600775s,0x7C,,
51.47704975s,0x00,,
51.47809175s,0x7F,,
51.673936s,0xEF,,
51.674978s,0x55,,
51.67602s,0xFE,,
51.67706175s,0x04,,
51.67810375s,0x77,,
51.67914575s,0x00,,
51.68018775s,0x00,,
51.68122975s,0x7B,,
51.875296s,0xEF,,
51.876338s,0x55,,
51.87738s,0xFE,,
51.878422s,0x03,,
51.879464s,0x7C,,
51.880506s,0x00,,
51.881548s,0x7F,,
52.075979s,0xEF,,
52.07702075s,0x55,,
52.07806275s,0xFE,,
52.07910475s,0x03,,
52.08014675s,0x7D,,
52.08118875s,0x00,,
52.08223075s,0x80,,
52.275978s,0xEF,,
52.27702s,0x55,,
52.27806175s,0xFE,,
52.27910375s,0x03,,
52.28014575s,0x7C,,
52.28118775s,0x00,,
52.28222975s,0x7F,,
52.47658925s,0xEF,,
52.477631s,0x55,,
52.478673s,0xFE,,
52.479715s,0x03,,
52.480757s,0x7A,,
52.481799s,0x01,,
52.48284075s,0x7E,,
52.67821625s,0xEF,,
52.679258s,0x55,,
52.6803s,0xFE,,
52.681342s,0x03,,
52.682384s,0x7C,,
52.683426s,0x00,,
52.684468s,0x7F,,
52.87923125s,0xEF,,
52.880273s,0x55,,
52.881315s,0xFE,,
52.882357s,0x03,,
52.883399s,0x7B,,
52.884441s,0x00,,
52.885483s,0x7E,,
53.079406s,0xEF,,
53.080448s,0x55,,
53.08149s,0xFE,,
53.08253175s,0x03,,
53.08357375s,0x7C,,
53.08461575s,0x00,,
53.08565775s,0x7F,,
53.28063575s,0xEF,,
53.28167775s,0x55,,
53.28271975s,0xFE,,
53.28376175s,0x04,,
53.28480375s,0x77,,
53.28584575s,0x00,,
53.28688775s,0x00,,
53.28792975s,0x7B,,
53.481527s,0xEF,,
53.482569s,0x55,,
53.483611s,0xFE,,
53.484653s,0x03,,
53.48569475s,0x7C,,
53.48673675s,0x00,,
53.48777875s,0x7F,,
53.68293275s,0xEF,,
53.68397475s,0x55,,
53.68501675s,0xFE,,
53.68605875s,0x03,,
53.6871005s,0x7D,,
53.6881425s,0x00,,
53.6891845s,0x80,,
53.88310125s,0xEF,,
53.884143s,0x55,,
53.885185s,0xFE,,
53.886227s,0x03,,
53.887269s,0x7C,,
53.88831075s,0x00,,
53.88935275s,0x7F,,
54.08418125s,0xEF,,
54.085223s,0x55,,
54.086265s,0xFE,,
54.087307s,0x03,,
54.088349s,0x7A,,
54.089391s,0x01,,
54.090433s,0x7E,,
54.28449275s,0xEF,,
54.28553475s,0x55,,
54.28657675s,0xFE,,
54.28761875s,0x03,,
54.28866075s,0x7C,,
54.2897025s,0x00,,
54.2907445s,0x7F,,
54.48438775s,0xEF,,
54.4854295s,0x55,,
54.4864715s,0xFE,,
54.4875135s,0x03,,
54.4885555s,0x7B,,
54.48959725s,0x00,,
54.49063925s,0x7E,,
54.684849s,0xEF,,
54.685891s,0x55,,
54.686933s,0xFE,,
54.68797475s,0x03,,
54.68901675s,0x7C,,
54.69005875s,0x00,,
54.69110075s,0x7F,,
54.88572075s,0xEF,,
54.88676275s,0x55,,
54.8878045s,0xFE,,
54.8888465s,0x04,,
54.8898885s,0x77,,
54.8909305s,0x00,,
54.8919725s,0x00,,
54.8930145s,0x7B,,
55.0856675s,0xEF,,
55.0867095s,0x55,,
55.0877515s,0xFE,,
55.0887935s,0x03,,
55.0898355s,0x7C,,
55.09087725s,0x00,,
55.09191925s,0x7F,,
55.28685825s,0xEF,,
55.28790025s,0x55,,
55.28894225s,0xFE,,
55.28998425s,0x03,,
55.29102625s,0x7D,,
55.29206825s,0x00,,
55.29311025s,0x80,,
55.487144s,0xEF,,
55.48818575s,0x55,,
55.48922775s,0xFE,,
55.49026975s,0x03,,
55.49131175s,0x7C,,
55.49235375s,0x00,,
55.49339575s,0x7F,,
55.68812625s,0xEF,,
55.68916825s,0x55,,
55.69021025s,0xFE,,
55.69125225s,0x03,,
55.692294s,0x7A,,
55.693336s,0x01,,
55.694378s,0x7E,,
55.892111s,0xEF,,
55.89315275s,0x55,,
55.89419475s,0xFE,,
55.89523675s,0x03,,
55.89627875s,0x7C,,
55.8973205s,0x00,,
55.8983625s,0x7F,,
56.09283925s,0xEF,,
56.09388125s,0x55,,
56.09492325s,0xFE,,
56.09596525s,0x03,,
56.097007s,0x7B,,
56.098049s,0x00,,
56.099091s,0x7E,,
56.29383475s,0xEF,,
56.2948765s,0x55,,
56.2959185s,0xFE,,
56.2969605s,0x03,,
56.2980025s,0x7C,,
56.2990445s,0x00,,
56.3000865s,0x7F,,
56.495006s,0xEF,,
56.49604775s,0x55,,
56.49708975s,0xFE,,
56.49813175s,0x04,,
56.49917375s,0x77,,
56.50021575s,0x00,,
56.5012575s,0x00,,
56.5022995s,0x7B,,
56.69520675s,0xEF,,
56.69624875s,0x55,,
56.69729075s,0xFE,,
56.69833275s,0x03,,
56.6993745s,0x7C,,
56.7004165s,0x00,,
56.7014585s,0x7F,,
56.8956355s,0xEF,,
56.8966775s,0x55,,
56.8977195s,0xFE,,
56.8987615s,0x03,,
56.8998035s,0x7D,,
56.9008455s,0x00,,
56.9018875s,0x80,,
57.096351s,0xEF,,
57.097393s,0x55,,
57.098435s,0xFE,,
57.099477s,0x03,,
57.10051875s,0x7C,,
57.10156075s,0x00,,
57.10260275s,0x7F,,
57.29635s,0xEF,,
57.297392s,0x55,,
57.298434s,0xFE,,
57.29947575s,0x03,,
57.30051775s,0x7A,,
57.30155975s,0x01,,
57.30260175s,0x7E,,
57.49653775s,0xEF,,
57.49757975s,0x55,,
57.49862175s,0xFE,,
57.49966375s,0x03,,
57.50070575s,0x7C,,
57.50174775s,0x00,,
57.50278975s,0x7F,,
57.69700575s,0xEF,,
57.69804775s,0x55,,
57.69908975s,0xFE,,
57.70013175s,0x03,,
57.7011735s,0x7B,,
57.7022155s,0x00,,
57.7032575s,0x7E,,
57.8979035s,0xEF,,
57.8989455s,0x55,,
57.8999875s,0xFE,,
57.9010295s,0x03,,
57.90207125s,0x7C,,
57.90311325s,0x00,,
57.90415525s,0x7F,,
58.098899s,0xEF,,
58.09994075s,0x55,,
58.10098275s,0xFE,,
58.10202475s,0x04,,
58.10306675s,0x77,,
58.10410875s,0x00,,
58.10515075s,0x00,,
58.10619275s,0x7B,,
58.30017425s,0xEF,,
58.30121625s,0x55,,
58.30225825s,0xFE,,
58.30330025s,0x03,,
58.30434225s,0x7C,,
58.30538425s,0x00,,
58.30642625s,0x7F,,
